protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000251413 155
9606.ENSP00000000233 9606.ENSP00000272317 238
9606.ENSP00000000233 9606.ENSP00000418915 546
9606.ENSP00000000233 9606.ENSP00000364631 162
9606.ENSP00000000233 9606.ENSP00000366563 160
9606.ENSP00000000233 9606.ENSP00000368824 176
9606.ENSP00000000233 9606.ENSP00000479844 175
9606.ENSP00000000233 9606.ENSP00000259818 221
9606.ENSP00000000233 9606.ENSP00000356438 192
9606.ENSP00000000233 9606.ENSP00000388806 187
9606.ENSP00000000233 9606.ENSP00000263088 501
9606.ENSP00000000233 9606.ENSP00000460823 154
9606.ENSP00000000233 9606.ENSP00000438085 654
9606.ENSP00000000233 9606.ENSP00000371331 152
9606.ENSP00000000233 9606.ENSP00000290866 161
9606.ENSP00000000233 9606.ENSP00000333685 178
9606.ENSP00000000233 9606.ENSP00000239223 151
9606.ENSP00000000233 9606.ENSP00000320117 254
9606.ENSP00000000233 9606.ENSP00000336666 565
9606.ENSP00000000233 9606.ENSP00000331901 395
9606.ENSP00000000233 9606.ENSP00000340820 166
9606.ENSP00000000233 9606.ENSP00000466298 209
9606.ENSP00000000233 9606.ENSP00000277010 317
9606.ENSP00000000233 9606.ENSP00000310129 178
9606.ENSP00000000233 9606.ENSP00000469413 197
9606.ENSP00000000233 9606.ENSP00000356567 177
9606.ENSP00000000233 9606.ENSP00000379457 156
9606.ENSP00000000233 9606.ENSP00000352834 213
9606.ENSP00000000233 9606.ENSP00000270625 195
9606.ENSP00000000233 9606.ENSP00000407552 163
9606.ENSP00000000233 9606.ENSP00000376475 192
9606.ENSP00000000233 9606.ENSP00000254846 231
9606.ENSP00000000233 9606.ENSP00000451291 239
9606.ENSP00000000233 9606.ENSP00000359552 189
9606.ENSP00000000233 9606.ENSP00000367407 322
9606.ENSP00000000233 9606.ENSP00000382423 178
9606.ENSP00000000233 9606.ENSP00000273398 207
9606.ENSP00000000233 9606.ENSP00000269571 197
9606.ENSP00000000233 9606.ENSP00000298510 238
9606.ENSP00000000233 9606.ENSP00000346206 372
9606.ENSP00000000233 9606.ENSP00000484121 782
9606.ENSP00000000233 9606.ENSP00000261263 221
9606.ENSP00000000233 9606.ENSP00000222145 161
9606.ENSP00000000233 9606.ENSP00000222330 173
9606.ENSP00000000233 9606.ENSP00000280772 634
9606.ENSP00000000233 9606.ENSP00000285735 223
9606.ENSP00000000233 9606.ENSP00000264380 160
9606.ENSP00000000233 9606.ENSP00000389326 161
9606.ENSP00000000233 9606.ENSP00000348828 175
9606.ENSP00000000233 9606.ENSP00000451752 623
9606.ENSP00000000233 9606.ENSP00000274353 153
9606.ENSP00000000233 9606.ENSP00000451828 261
9606.ENSP00000000233 9606.ENSP00000262225 671
9606.ENSP00000000233 9606.ENSP00000357087 150
9606.ENSP00000000233 9606.ENSP00000347792 219
9606.ENSP00000000233 9606.ENSP00000379842 177
9606.ENSP00000000233 9606.ENSP00000334051 177
9606.ENSP00000000233 9606.ENSP00000444850 710
9606.ENSP00000000233 9606.ENSP00000328551 936
9606.ENSP00000000233 9606.ENSP00000219476 198
9606.ENSP00000000233 9606.ENSP00000313869 432
9606.ENSP00000000233 9606.ENSP00000352925 163
9606.ENSP00000000233 9606.ENSP00000262903 157
9606.ENSP00000000233 9606.ENSP00000295095 171
9606.ENSP00000000233 9606.ENSP00000369461 183
9606.ENSP00000000233 9606.ENSP00000400908 247
9606.ENSP00000000233 9606.ENSP00000360869 200
9606.ENSP00000000233 9606.ENSP00000386443 343
9606.ENSP00000000233 9606.ENSP00000429744 158
9606.ENSP00000000233 9606.ENSP00000361785 151
9606.ENSP00000000233 9606.ENSP00000379891 443
9606.ENSP00000000233 9606.ENSP00000373312 363
9606.ENSP00000000233 9606.ENSP00000259400 170
9606.ENSP00000000233 9606.ENSP00000379386 303
9606.ENSP00000000233 9606.ENSP00000369899 155
9606.ENSP00000000233 9606.ENSP00000370208 222
9606.ENSP00000000233 9606.ENSP00000315659 182
9606.ENSP00000000233 9606.ENSP00000354451 242
9606.ENSP00000000233 9606.ENSP00000301012 166
9606.ENSP00000000233 9606.ENSP00000243052 174
9606.ENSP00000000233 9606.ENSP00000355809 158
9606.ENSP00000000233 9606.ENSP00000035383 161
9606.ENSP00000000233 9606.ENSP00000347839 566
9606.ENSP00000000233 9606.ENSP00000361824 612
9606.ENSP00000000233 9606.ENSP00000317955 288
9606.ENSP00000000233 9606.ENSP00000361930 210
9606.ENSP00000000233 9606.ENSP00000159111 153
9606.ENSP00000000233 9606.ENSP00000299084 158
9606.ENSP00000000233 9606.ENSP00000346160 188
9606.ENSP00000000233 9606.ENSP00000367203 231
9606.ENSP00000000233 9606.ENSP00000263360 158
9606.ENSP00000000233 9606.ENSP00000362680 266
9606.ENSP00000000233 9606.ENSP00000354376 460
9606.ENSP00000000233 9606.ENSP00000377633 163
9606.ENSP00000000233 9606.ENSP00000397552 151
9606.ENSP00000000233 9606.ENSP00000256935 174
9606.ENSP00000000233 9606.ENSP00000332118 158
9606.ENSP00000000233 9606.ENSP00000292432 167
9606.ENSP00000000233 9606.ENSP00000288699 280
9606.ENSP00000000233 9606.ENSP00000343741 160
9606.ENSP00000000233 9606.ENSP00000377233 569
9606.ENSP00000000233 9606.ENSP00000226253 175
9606.ENSP00000000233 9606.ENSP00000225577 162
9606.ENSP00000000233 9606.ENSP00000362116 190
9606.ENSP00000000233 9606.ENSP00000358994 171
9606.ENSP00000000233 9606.ENSP00000431418 170
9606.ENSP00000000233 9606.ENSP00000356832 162
9606.ENSP00000000233 9606.ENSP00000381097 158
9606.ENSP00000000233 9606.ENSP00000261942 380
9606.ENSP00000000233 9606.ENSP00000274376 182
9606.ENSP00000000233 9606.ENSP00000473001 165
9606.ENSP00000000233 9606.ENSP00000314649 284
9606.ENSP00000000233 9606.ENSP00000482835 278
9606.ENSP00000000233 9606.ENSP00000447300 254
9606.ENSP00000000233 9606.ENSP00000399403 195
9606.ENSP00000000233 9606.ENSP00000290765 182
9606.ENSP00000000233 9606.ENSP00000279488 170
9606.ENSP00000000233 9606.ENSP00000344220 244
9606.ENSP00000000233 9606.ENSP00000370719 172
9606.ENSP00000000233 9606.ENSP00000466799 237
9606.ENSP00000000233 9606.ENSP00000356530 199
9606.ENSP00000000233 9606.ENSP00000311857 156
9606.ENSP00000000233 9606.ENSP00000276440 174
9606.ENSP00000000233 9606.ENSP00000316809 170
9606.ENSP00000000233 9606.ENSP00000369038 182
9606.ENSP00000000233 9606.ENSP00000223136 229
9606.ENSP00000000233 9606.ENSP00000285398 160
9606.ENSP00000000233 9606.ENSP00000299601 278
9606.ENSP00000000233 9606.ENSP00000288607 200
9606.ENSP00000000233 9606.ENSP00000383178 160
9606.ENSP00000000233 9606.ENSP00000262032 161
9606.ENSP00000000233 9606.ENSP00000344942 172
9606.ENSP00000000233 9606.ENSP00000307940 228
9606.ENSP00000000233 9606.ENSP00000379678 155
9606.ENSP00000000233 9606.ENSP00000426503 297
9606.ENSP00000000233 9606.ENSP00000417175 186
9606.ENSP00000000233 9606.ENSP00000257770 227
9606.ENSP00000000233 9606.ENSP00000360124 155
9606.ENSP00000000233 9606.ENSP00000310226 754
9606.ENSP00000000233 9606.ENSP00000219255 194
9606.ENSP00000000233 9606.ENSP00000377681 160
9606.ENSP00000000233 9606.ENSP00000246802 201
9606.ENSP00000000233 9606.ENSP00000482657 178
9606.ENSP00000000233 9606.ENSP00000353224 171
9606.ENSP00000000233 9606.ENSP00000381607 181
