protein1 protein2 combined_score
4932.Q0085 4932.YCR003W 291
4932.Q0085 4932.YPR051W 204
4932.Q0085 4932.YGL187C 202
4932.Q0085 4932.YKL170W 286
4932.Q0085 4932.YDR419W 182
4932.Q0085 4932.YIL111W 266
4932.Q0085 4932.Q0045 999
4932.Q0085 4932.YML120C 371
4932.Q0085 4932.YLL026W 271
4932.Q0085 4932.YMR260C 396
4932.Q0085 4932.Q0080 999
4932.Q0085 4932.YOL021C 179
4932.Q0085 4932.YKR070W 308
4932.Q0085 4932.YDL004W 999
4932.Q0085 4932.YBL045C 480
4932.Q0085 4932.YPR102C 575
4932.Q0085 4932.YPL252C 297
4932.Q0085 4932.YDR064W 635
4932.Q0085 4932.YHL015W 195
4932.Q0085 4932.YER095W 174
4932.Q0085 4932.YJL190C 256
4932.Q0085 4932.YKL195W 171
4932.Q0085 4932.YDL022W 187
4932.Q0085 4932.YNL177C 241
4932.Q0085 4932.YFR031C-A 437
4932.Q0085 4932.YPL078C 999
4932.Q0085 4932.YDL140C 389
4932.Q0085 4932.YGL105W 226
4932.Q0085 4932.YDR385W 279
4932.Q0085 4932.YMR293C 184
4932.Q0085 4932.YPR166C 378
4932.Q0085 4932.YNL306W 337
4932.Q0085 4932.YML081C-A 989
4932.Q0085 4932.YML106W 199
4932.Q0085 4932.YHL001W 364
4932.Q0085 4932.YEL024W 374
4932.Q0085 4932.YLR204W 343
4932.Q0085 4932.YDR341C 390
4932.Q0085 4932.Q0275 998
4932.Q0085 4932.YOL049W 213
4932.Q0085 4932.YOL071W 270
4932.Q0085 4932.YJR064W 167
4932.Q0085 4932.YCR071C 349
4932.Q0085 4932.YMR301C 154
4932.Q0085 4932.YOL127W 416
4932.Q0085 4932.YOR202W 171
4932.Q0085 4932.YEL039C 465
4932.Q0085 4932.YDL185W 900
4932.Q0085 4932.YKR066C 181
4932.Q0085 4932.YOR063W 454
4932.Q0085 4932.YGR085C 575
4932.Q0085 4932.YDL061C 255
4932.Q0085 4932.YGR033C 696
4932.Q0085 4932.YDR375C 520
4932.Q0085 4932.YCL005W-A 720
4932.Q0085 4932.YDR101C 191
4932.Q0085 4932.YNL121C 255
4932.Q0085 4932.YOR033C 157
4932.Q0085 4932.YBR037C 280
4932.Q0085 4932.YBR011C 749
4932.Q0085 4932.YML063W 215
4932.Q0085 4932.YMR205C 176
4932.Q0085 4932.YBR118W 152
4932.Q0085 4932.YMR158W 228
4932.Q0085 4932.YLR447C 918
4932.Q0085 4932.YPL234C 992
4932.Q0085 4932.YLR388W 255
4932.Q0085 4932.YDR494W 284
4932.Q0085 4932.YOL121C 208
4932.Q0085 4932.YBL030C 274
4932.Q0085 4932.YFR033C 257
4932.Q0085 4932.YMR174C 167
4932.Q0085 4932.YDR377W 980
4932.Q0085 4932.YMR054W 926
4932.Q0085 4932.YLL009C 220
4932.Q0085 4932.YER050C 393
4932.Q0085 4932.YLR340W 273
4932.Q0085 4932.YML054C 563
4932.Q0085 4932.YOR297C 236
4932.Q0085 4932.YGR185C 363
4932.Q0085 4932.YKL173W 279
4932.Q0085 4932.YIL022W 507
4932.Q0085 4932.YOR211C 531
4932.Q0085 4932.YPR036W 900
4932.Q0085 4932.YGL107C 569
4932.Q0085 4932.YGR214W 252
4932.Q0085 4932.YOR346W 182
4932.Q0085 4932.YPR110C 560
4932.Q0085 4932.YNR017W 369
4932.Q0085 4932.YKL009W 273
4932.Q0085 4932.YPL013C 653
4932.Q0085 4932.YLR441C 220
4932.Q0085 4932.YOR270C 802
4932.Q0085 4932.YBR039W 999
4932.Q0085 4932.YLR244C 555
